image_id,split,species,class_label,source_collection,source_reference,redistribution_status,licence,width,height,file_size_bytes,sha256,phash,dhash,exif_tag_count,has_exif,embedded_info_keys
a4c1cca240f7ff93,validation,Cat,Cat_normal,study_curated_corpus,assembled for this study from prior archives,unknown_provenance_verify_required,,298,400,93408,a4c1cca240f7ff936c0fb60979b16177896423c525f76a0806e13b907274b948,d13ce70997c814cf,e00a34d4f8b88948,9,True,"[""dpi"", ""flashpix""]"
a097c4ede2a5f7b8,validation,Cat,Cat_normal,study_curated_corpus,assembled for this study from prior archives,unknown_provenance_verify_required,,500,397,25601,a097c4ede2a5f7b80cc810dde0a67a7c441798152b50e565360de619401309ae,eeb489c494c9da27,340e0b2c4441c346,0,False,"[""jfif"", ""jfif_density"", ""jfif_unit"", ""jfif_version""]"
1a48120299ebf934,validation,Cat,Cat_normal,study_curated_corpus,assembled for this study from prior archives,unknown_provenance_verify_required,,146,194,5033,1a48120299ebf93472b5044bc15ef0b94519a7b1964b6dd9d143c6a16815fec9,eef5d0498da57244,421c4466631961c1,0,False,"[""jfif"", ""jfif_density"", ""jfif_unit"", ""jfif_version""]"
f0c931e08ba27a18,validation,Cat,Cat_normal,study_curated_corpus,assembled for this study from prior archives,unknown_provenance_verify_required,,275,454,43523,f0c931e08ba27a186117ed99a0cf36ae0b0a69ae294e43971050e80682107375,fe007359399682fa,b0c7a53633713901,0,False,"[""jfif"", ""jfif_density"", ""jfif_unit"", ""jfif_version""]"
0d4a20960f840765,validation,Cat,Cat_normal,study_curated_corpus,assembled for this study from prior archives,unknown_provenance_verify_required,,373,500,42251,0d4a20960f8407654a140dfcd319d0df33998a6a07b80720745a831f8fdf47a0,9bd9656d64479898,f238b9783939d0d6,0,False,"[""jfif"", ""jfif_density"", ""jfif_unit"", ""jfif_version""]"
fbf0cc59fc746507,validation,Cat,Cat_normal,study_curated_corpus,assembled for this study from prior archives,unknown_provenance_verify_required,,500,350,23934,fbf0cc59fc746507b211f0e866f4974a2a7a828d1b20040cd4fdd543c7a239f6,f34e90e0ca3b642f,8d54231b47ce5dda,0,False,"[""jfif"", ""jfif_density"", ""jfif_unit"", ""jfif_version""]"
0ff252b49bac430f,validation,Cat,Cat_normal,study_curated_corpus,assembled for this study from prior archives,unknown_provenance_verify_required,,500,375,42714,0ff252b49bac430f370a95662aaa0d8f93be23da717fda858aac8919e7aba040,a6b39b4ce4e65982,c8fcccc6e6e2e4e4,0,False,"[""jfif"", ""jfif_density"", ""jfif_unit"", ""jfif_version""]"
ad5b0679cc2ef3ec,validation,Cat,Cat_normal,study_curated_corpus,assembled for this study from prior archives,unknown_provenance_verify_required,,245,185,19383,ad5b0679cc2ef3ecc3583982284c35f28c425208cda9b19597615d5e9de59ea0,c16d36b36a74384d,c3f2f2e3e3c8ccf0,20,True,"[""dpi"", ""jfif"", ""jfif_density"", ""jfif_unit"", ""jfif_version""]"
65db90dbd84cdbd1,validation,Cat,Cat_normal,study_curated_corpus,assembled for this study from prior archives,unknown_provenance_verify_required,,200,266,19879,65db90dbd84cdbd1b2394604231caa4ed8ddfad47be5ec41ccf14018d623eaad,c3523075557d2b69,dccde961f0f2368c,0,False,"[""dpi"", ""jfif"", ""jfif_density"", ""jfif_unit"", ""jfif_version"", ""photoshop""]"
981aec7f0498239c,validation,Cat,Cat_normal,study_curated_corpus,assembled for this study from prior archives,unknown_provenance_verify_required,,500,408,37112,981aec7f0498239c51d6577f5f04cebb808c46bc0194e9ad212c6a34482e8e7c,ba0bd46dc2e0cfa2,313a1b1b0f17afac,0,False,"[""jfif"", ""jfif_density"", ""jfif_unit"", ""jfif_version""]"
a46284d69bcb07c3,validation,Cat,Cat_normal,study_curated_corpus,assembled for this study from prior archives,unknown_provenance_verify_required,,500,500,53108,a46284d69bcb07c3b008ff27422d75d1dfa87b003996994e1a71e0ccce323caf,9857768d19b0c772,b065b9b1b3b3b18d,0,False,"[""jfif"", ""jfif_density"", ""jfif_unit"", ""jfif_version""]"
